City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,10.09,87.0,75.0,1.54,CA,1690364418.0
1,cidade velha,14.9167,-23.6167,27.26,78.0,75.0,8.23,CV,1690364419.0
2,ilulissat,69.2167,-51.1,2.01,100.0,20.0,1.54,GL,1690364419.0
3,adamstown,-25.066,-130.1015,20.36,70.0,81.0,11.27,PN,1690364420.0
4,nago,26.5881,127.9761,29.47,86.0,100.0,5.72,JP,1690364421.0
5,west island,-12.1568,96.8225,26.99,74.0,40.0,8.75,CC,1690364421.0
6,blackmans bay,-43.0167,147.3167,12.07,82.0,100.0,2.1,AU,1690364422.0
7,gorontalo,0.5412,123.0595,26.09,84.0,17.0,2.58,ID,1690364423.0
8,hawaiian paradise park,19.5933,-154.9731,24.29,96.0,100.0,2.57,US,1690364423.0
9,st. john's,47.5649,-52.7093,20.08,88.0,40.0,4.12,CA,1690364216.0
10,tiksi,71.6872,128.8694,6.36,73.0,20.0,1.2,RU,1690364424.0
11,ad dilam,23.9915,47.1627,45.23,6.0,100.0,0.57,SA,1690364425.0
12,constantia,44.1833,28.65,36.5,51.0,14.0,10.96,RO,1690364425.0
13,nyurba,63.2842,118.3319,22.84,53.0,100.0,3.19,RU,1690364426.0
14,sitka,57.0531,-135.33,14.94,82.0,100.0,4.12,US,1690364426.0
15,murghob,38.1702,73.9667,20.39,22.0,85.0,1.6,TJ,1690364427.0
17,hilo,19.7297,-155.09,24.41,100.0,100.0,2.57,US,1690364429.0
18,grytviken,-54.2811,-36.5092,-1.85,86.0,83.0,4.39,GS,1690364430.0
19,coeur d'alene,47.6777,-116.7805,14.12,54.0,0.0,0.0,US,1690364431.0
20,yellowknife,62.456,-114.3525,18.29,55.0,100.0,6.17,CA,1690364213.0
21,waitangi,-43.9535,-176.5597,9.98,71.0,100.0,11.7,NZ,1690364433.0
22,mbandaka,0.0487,18.2603,30.32,52.0,54.0,0.85,CD,1690364434.0
23,aykhal,66.0,111.5,20.27,52.0,100.0,5.77,RU,1690364409.0
24,edinburgh of the seven seas,-37.0676,-12.3116,9.66,61.0,100.0,8.34,SH,1690364435.0
25,iqaluit,63.7506,-68.5145,5.85,100.0,75.0,0.0,CA,1690364436.0
26,aldama,22.9167,-98.0667,24.72,91.0,99.0,1.63,MX,1690364437.0
27,kilindoni,-7.9139,39.6668,24.71,74.0,52.0,7.93,TZ,1690364437.0
28,angatuba,-23.4897,-48.4128,14.66,66.0,26.0,0.83,BR,1690364438.0
29,invercargill,-46.4,168.35,5.34,94.0,100.0,8.4,NZ,1690364439.0
30,pocito,-31.6833,-68.5833,9.89,52.0,0.0,2.9,AR,1690364440.0
31,ribeira grande,38.5167,-28.7,22.65,78.0,20.0,1.34,PT,1690364440.0
32,avarua,-21.2078,-159.775,21.03,78.0,20.0,2.06,CK,1690364441.0
33,togur,58.3631,82.8265,23.11,60.0,88.0,4.02,RU,1690364441.0
34,ushuaia,-54.8,-68.3,-0.19,80.0,0.0,8.75,AR,1690364442.0
35,alice springs,-23.7,133.8833,19.75,34.0,100.0,3.09,AU,1690364442.0
36,papatowai,-46.5619,169.4708,9.0,71.0,100.0,6.68,NZ,1690364443.0
37,port-aux-francais,-49.35,70.2167,3.45,75.0,85.0,13.82,TF,1690364443.0
38,colonia,50.9333,6.95,19.68,64.0,75.0,3.09,DE,1690364444.0
39,albany,42.6001,-73.9662,18.23,94.0,0.0,0.45,US,1690364225.0
40,puerto baquerizo moreno,-0.9,-89.6,24.58,81.0,85.0,4.71,EC,1690364445.0
42,leua,48.2156,18.6071,18.61,72.0,100.0,7.06,SK,1690364446.0
44,badger,64.8,-147.5333,20.93,84.0,0.0,0.0,US,1690364447.0
45,altay,47.8667,88.1167,33.39,16.0,66.0,8.16,CN,1690364448.0
46,balsas,-7.5325,-46.0356,20.72,52.0,5.0,1.72,BR,1690364448.0
47,bredasdorp,-34.5322,20.0403,14.1,64.0,99.0,0.86,ZA,1690364449.0
48,saipan,15.1355,145.701,26.39,100.0,75.0,7.2,MP,1690364449.0
49,laguna,38.421,-121.4238,24.14,63.0,0.0,3.6,US,1690364450.0
50,uturoa,-16.7333,-151.4333,25.85,85.0,23.0,2.67,PF,1690364455.0
51,antsiranana,-12.2787,49.2917,28.42,47.0,40.0,7.2,MG,1690364456.0
52,makokou,0.5738,12.8642,25.49,77.0,98.0,1.76,GA,1690364457.0
53,lihue,21.9789,-159.3672,25.77,86.0,100.0,7.2,US,1690364457.0
54,talnakh,69.4865,88.3972,26.23,41.0,6.0,1.58,RU,1690364458.0
55,stanley,54.868,-1.6985,19.73,70.0,20.0,6.69,GB,1690364458.0
56,gerash,27.6652,54.1371,38.08,23.0,73.0,3.66,IR,1690364459.0
58,zimmerman,45.4433,-93.59,21.91,93.0,75.0,3.09,US,1690364460.0
59,nadi,-17.8,177.4167,22.0,88.0,75.0,3.09,FJ,1690364460.0
60,lebu,-37.6167,-73.65,7.19,85.0,23.0,1.44,CL,1690364461.0
61,kasongo,-4.45,26.6667,35.38,16.0,8.0,2.96,CD,1690364461.0
62,longyearbyen,78.2186,15.6401,11.91,54.0,0.0,3.6,SJ,1690364462.0
64,east london,-33.0153,27.9116,17.52,59.0,0.0,2.06,ZA,1690364463.0
65,kahriz,34.3838,47.0553,35.4,11.0,0.0,2.71,IR,1690364463.0
66,margate,51.3813,1.3862,20.49,60.0,8.0,1.34,GB,1690364464.0
67,el bagre,7.5927,-74.8086,23.8,100.0,100.0,0.12,CO,1690364464.0
68,keflavik,64.0049,-22.5624,13.95,76.0,100.0,4.63,IS,1690364465.0
69,hermanus,-34.4187,19.2345,11.56,69.0,100.0,3.17,ZA,1690364465.0
70,gumel,12.6279,9.3912,33.03,42.0,78.0,4.25,NG,1690364466.0
71,nirasaki,35.7,138.45,27.32,70.0,95.0,0.4,JP,1690364466.0
